bio_language,community,created_at,followers_count,from_user,is_art,is_education,is_feminist,is_media,is_politics,is_sports,macro_micro,mention_count,movement_in,name,negative,neutral,positive,retweet_count,tweets_count,user_description
en,15,2017-02-09 00:40:52,438.0,earlamcduck,1.0,0.0,0.0,1.0,0.0,0.0,micro,0,GrabYourWallet,earlamcduck,1.0,20.0,1.0,0,22.0,"writer, music dabbler & mom. I've an affinity for that team in Flushing (LGM!) a firm belief in equal rights & a ticklish sense of humor. PotterMore!!"
en,15,2017-02-09 01:29:23,4842.0,Brainyack524,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,Brainyack524,1.0,18.0,1.0,0,20.0,"20 Oscar nominations short of being ""overrated""... #WhatsTrumpTakenFromYou #AmericanTestimonials #TheResistance to fight back. Lib. Meg & Moxie's human. Funny?"
en,15,2017-02-09 02:21:04,2308.0,LAsamurai27,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,LAsamurai27,1.0,18.0,2.0,0,21.0,"the CALIFORNIA COLUMN:LAKings,LAkers,LAGalaxy, Doyers,RAMS,Rudie,PROGRESSIVE, MOTORCYCLIST,Freethinker,JEDI, Dog Lover,SK8r & PROUD UNION Member ILWU local13😎"
en,15,2017-02-08 23:39:08,4561.0,heatco,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,heatco,0.0,18.0,0.0,0,18.0,"I am a Mom, Wife, Daughter & Friend all wrapped into one. I'm a work in progress as it should always be. My tweets are eclectic! Proud❄️ #BUCKEYES  ✌🏼️❤️🌎🇺🇸"
en,15,2017-02-08 23:01:39,526.0,AnitaThom57,1.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,AnitaThom57,1.0,15.0,1.0,0,17.0,"I'm a retired senior citizen who enjoys jazz music, Mahjongg, crafting.  I'm also against Trump. Please no lists.  #NOTMYPRESIDENT"
en,15,2017-02-08 20:08:36,1171.0,PamShumate,1.0,0.0,0.0,0.0,0.0,1.0,micro,0,GrabYourWallet,PamShumate,1.0,4.0,1.0,0,6.0,"Amazing Kids,Beautiful Grandkids,Love Country Music, Alabama Football Dale Jr.DO NOT ADD ME TO LIST,YOU WILL BE BLOCKED"
en,15,2017-02-08 21:14:02,5457.0,Jodzio,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,Jodzio,0.0,2.0,1.0,0,3.0,#TheResistance HRC was robbed. #NeverMyPresident NO LISTS!
,15,2017-02-08 19:14:20,72.0,meechebucco,,,,,,,micro,0,GrabYourWallet,meechebucco,0.0,2.0,2.0,0,4.0,
en,15,2017-02-08 17:17:38,202.0,jaskren3,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,jaskren3,1.0,1.0,1.0,0,3.0,Not Impressed.
en,15,2017-02-09 01:56:56,9874.0,UckfayRumptay,0.0,0.0,1.0,0.0,0.0,0.0,micro,0,GrabYourWallet,UckfayRumptay,1.0,2.0,5.0,76,8.0,"Historian. Queer. Feminist. NY. It's not a conversation, it's direction. #TheResistance #GrabYourWallet #TrumpLeaks #AnonFamily #OpTrump  Trumpanzee blocker."
en,15,2017-02-09 00:16:14,1492.0,defendfreespeak,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,defendfreespeak,1.0,8.0,2.0,3,11.0,The revolution will be televised #TheResistance #GrabYourWallet
en,15,2017-02-05 08:45:06,174.0,PennyKanakis,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,PennyKanakis,1.0,2.0,0.0,0,3.0,I am giving back ..Helping our countries aging population thrive and continue to have independence in there homes
,15,,,,,,,,,,micro,0,GrabYourWallet,TwitterMoments,,,,129,,
en,15,2017-02-08 18:46:02,2474.0,thepowerofmeow,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,thepowerofmeow,1.0,2.0,3.0,0,6.0,“In the end we will conserve only what we love; we will love only what we understand; and we will understand only what we have been taught.” ― Baba Dioum
en,15,2017-02-08 23:00:05,9313.0,KAmorphous,1.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,KAmorphous,0.0,1.0,0.0,161,1.0,visual artist | fine art photographer | duende wrangler | empathic misanthrope | ultra sapphist | vodouisant | consciousness sifter | nightmare of bigots.
en,15,2017-02-09 03:33:26,1388.0,drogorman,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,drogorman,1.0,0.0,0.0,0,1.0,"Funny motivational speaker, Psychologist, best selling author 9 books: The Resilient Woman, The 'Girly Thoughts' 10-Day Detox, 12 Steps to Self-Parenting +"
,15,2017-02-09 01:20:25,1530.0,DebraTdmbg,,,,,,,micro,0,GrabYourWallet,DebraTdmbg,0.0,7.0,3.0,0,10.0,
en,15,2017-02-08 21:41:58,11253.0,corvetteBeth,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,corvetteBeth,1.0,0.0,1.0,0,2.0,"Yep!  I've got that Damn FORCE with ME! Who the hell am I?  A world traveler, UCLA Bruin,& Corvette and Vegas lover! Am I SHALLOW or WHAT? #DramaQueen4Ever!!!!"
en,15,2017-02-08 04:47:24,4833.0,techweenie,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,techweenie,0.0,0.0,3.0,2,3.0,"Vietnam era Army veteran. Serial entrepreneur. Read things; know stuff - IOW not a Republican. Cat guy. Chevy Volt driver. 348 MPG. Suck it, Saudis"
en,15,2017-02-08 18:15:29,9682.0,Magdalena0113,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,Magdalena0113,1.0,1.0,0.0,2,2.0,Trump is 2 things: a con-man and a sociopath. You will not convince me otherwise.
,15,2017-02-09 01:28:06,241.0,drspick_sheryl,,,,,,,micro,0,GrabYourWallet,drspick_sheryl,1.0,1.0,0.0,0,2.0,
en,15,2017-02-08 20:59:15,413.0,cletushusker,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,cletushusker,0.0,1.0,1.0,0,2.0,"doberman, Dallas Cowboy, and Husker fan! proud parent of Maddie the gopher! #TheResistance"
en,15,2017-02-08 14:53:33,224.0,PresXit,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,PresXit,1.0,0.0,0.0,0,1.0,The current events unfolding each day r building blocks of wisdom 4tomorrow - 2understand intent is 2understand truth - focus on underlying currents. follow4mor
en,15,2017-02-08 20:59:46,92.0,velezusmc,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,velezusmc,0.0,0.0,1.0,0,1.0,democrat activist equal rights supporter
en,15,2017-02-09 01:03:43,525.0,rheaecho,1.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,rheaecho,0.0,1.0,1.0,0,2.0,"Latina, geek,& nerd. Lover of art and Humanity. If I like you, I'll make your hot cocoa with cream and milk instead of water.💖is = & colorblind.💜is diverse."
en,15,2017-02-09 03:58:09,2967.0,gjlos24,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,gjlos24,1.0,6.0,1.0,0,8.0,Equality and Understanding for All #IwillAlwaysBeWithHer #StrongerTogether #Rise #NastyWoman #TheResistance NeverMyPresidentDictatorTrump
en,15,2017-02-08 16:53:40,629.0,MescoStaysFresh,0.0,0.0,0.0,1.0,0.0,0.0,micro,0,GrabYourWallet,MescoStaysFresh,2.0,0.0,0.0,0,2.0,Thinker/Creator/Fan/Writer/Awakened
en,15,2017-02-08 17:50:36,185.0,mollywoaa,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,mollywoaa,1.0,0.0,0.0,0,1.0,"nevertheless, she persisted."
en,15,2017-02-09 03:40:51,2429.0,daisytobey,1.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,daisytobey,0.0,5.0,4.0,0,9.0,❤🐩🐈🐺 🌎 Animal lover kind person thoughtful friend❤ laughter funny ppl art books humour❤ empathy friendshipNo porn/ hate/ racism
en,15,2017-02-08 23:49:05,4524.0,moberzan,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,moberzan,0.0,1.0,1.0,0,2.0,Wife and mother of four fabulous adult children. #NotMyPresident #TheResistance #NeverTrump #StillWithHer #ShesWithUs #LoveTrumpsHate #DealMeIn #HillarysArmy
,15,2017-02-09 01:31:12,115.0,mariamaria4848,,,,,,,micro,0,GrabYourWallet,mariamaria4848,0.0,2.0,0.0,0,2.0,
en,15,2017-02-09 03:02:47,572.0,Jessie_2397,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,Jessie_2397,1.0,1.0,0.0,0,2.0,We Live in an Imperfect Society but a Beautiful World✈️🤙🏽🌺
en,15,2017-02-09 01:01:19,126.0,BuddhstAmerican,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,BuddhstAmerican,0.0,2.0,0.0,0,2.0,In the Dharma & Smiling! Emaho!!
en,15,2017-02-08 19:35:12,605.0,Joel_Schaffer,1.0,0.0,0.0,1.0,0.0,0.0,micro,0,GrabYourWallet,Joel_Schaffer,0.0,1.0,0.0,0,1.0,I find music & news so you don't have to....you're welcome.https://t.co/OCc7RL5GZ4https://t.co/PqDwPMTSMR
de,15,2017-02-09 01:07:49,288.0,akaacon,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,akaacon,0.0,1.0,0.0,0,1.0,SD
,15,2017-02-08 20:56:01,101.0,Gillylor,,,,,,,micro,0,GrabYourWallet,Gillylor,1.0,0.0,0.0,0,1.0,
en,15,2017-02-09 01:46:08,2105.0,spynewz007,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,spynewz007,0.0,1.0,0.0,0,1.0,#LoveTrumpsHate #StrongerTogether🇺🇸
en,15,2017-02-04 21:40:20,1843.0,Capt17Bjk,0.0,0.0,0.0,0.0,0.0,0.0,micro,0,GrabYourWallet,Capt17Bjk,0.0,1.0,2.0,0,3.0,"Military all my life , retired Captain still involved in Military projects as a Project Manager"
