from_user,education_content_count,media_content_count,politics_content_count,bio_language,community,created_at,followers_count,is_art,is_education,is_feminist,is_media,is_politics,is_sports,macro_micro,mention_count,movement_in,name,negative,neutral,positive,retweet_count,tweets_count,user_description
00Crory,0.0,0.0,0.0,0,7,2017-01-22 14:29:38,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,0,0.0,1.0,0.0,0,1.0,
00Danger7,0.0,0.0,0.0,10,16,2017-01-22 05:17:20,1357.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,1,0.0,4.0,1.0,0,5.0,A part of the true majority 65.8 million #WeThePeople and a child of Thor the God of Thunder/ Lightning.. #NoTrump
00LovelyDay00,0.0,0.0,0.0,10,21,2017-01-27 18:27:19,2746.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,2,0.0,3.0,0.0,2,3.0,I speak sarcasm and truth. Only people i dont like are criminals. I'm a proud patriot & catholic. I make Rosarys.  Proud Trump supporter. #TrumpPence2016 #MAGA
01_1__1001_1,0.0,0.0,0.0,20,1,2017-01-22 01:32:56,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,3,0.0,0.0,1.0,0,1.0,클린트 이스트우드 감독님처럼 '나이는 괜히 먹는게 아니다'를 증명할 수 있는 어른이 되고 싶어여
047201,0.0,0.0,0.0,0,3,2017-01-21 23:26:17,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,4,0.0,1.0,1.0,0,2.0,#
0715jb_sg,0.0,0.0,0.0,10,5,2017-01-22 10:17:16,954.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,5,0.0,0.0,1.0,0,1.0,"━━━followed me @JustinBieber➫2015.4.21━━━ ⌄̈⃝┈┈┈┈┈@alexmlange , @neelsvisser┈┈┈┈⌄̈⃝ 【 @selenagomez , @ChloeGMoretz , @notnickrob 】┊ K A A S T┊#Team10┊一応受験生"
0ceanhoran,0.0,0.0,0.0,0,5,2017-01-22 05:46:49,2342.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,6,0.0,0.0,1.0,0,1.0,
0rganmay,0.0,0.0,0.0,10,4,2017-01-24 02:31:39,1044.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,7,1.0,0.0,0.0,0,1.0,The future doesn't belong to the fainthearted. UMD
0u812B,0.0,0.0,0.0,10,2,2017-01-22 03:28:48,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,8,1.0,1.0,0.0,0,2.0,Do no harm but take no shit.
1000woodducks,0.0,0.0,0.0,10,1,2017-01-22 09:46:13,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,9,0.0,1.0,1.0,0,2.0,A hodgepodge of random.
1013tomato,0.0,0.0,0.0,19,7,2017-01-22 01:05:27,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,10,0.0,1.0,0.0,0,1.0,こんにちは(^-^)/'80～90年代の海外ドラマにはかなり詳しいつもりです。俳優で好きなのは、デヴィッド・ドゥカブニー、ジリアン・アンダーソン、ロバート・パトリック、ジェイソン・ベア、ジェニファー・アニストン、コートニー・コックス、ジョー・スパノ、etc.気軽に話しかけてくださいね～☆
10Delilah,0.0,0.0,0.0,0,39,2017-01-22 16:46:01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,11,0.0,1.0,0.0,0,1.0,
10_bid,0.0,0.0,0.0,0,5,2017-01-22 05:27:46,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,12,0.0,0.0,1.0,0,1.0,
1199SEIU,0.0,0.0,1.0,10,26,2017-01-22 17:04:43,13642.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,13,1.0,0.0,0.0,14,1.0,The mission of 1199SEIU United Healthcare Workers East is to achieve quality care & good jobs for all. We are the nation’s largest healthcare union.
12Denisee,0.0,0.0,0.0,10,2,2017-01-22 02:25:11,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,14,1.0,0.0,0.0,0,1.0,You're MINE YOU GOT THAT @harry_styles. H017
1311Christian,0.0,0.0,0.0,28,0,2017-01-24 23:34:45,3681.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,15,0.0,2.0,0.0,0,2.0,Escorpiano
13DavidAlan,0.0,0.0,0.0,10,17,2017-01-22 00:37:24,3348.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,16,0.0,0.0,1.0,0,1.0,"Proud husband, father and Steelers fan. Carnegie Mellon University, University of Illinois, The New School. Opinions are my own."
13Evelyn_Flores,0.0,0.0,0.0,10,0,2017-01-21 23:19:00,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,17,0.0,1.0,0.0,0,1.0,●Vegan● ||The @Janoskians are my loves|| 》If you break our snapchat streak then you break my trust《 #WomensMarch
13Zoerose,0.0,0.0,0.0,10,43,2017-01-21 23:45:40,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,18,0.0,1.0,0.0,0,1.0,✌chill vibes bro✌                                                     snapperchat: zozopet99.                                           insta: measmecanbe
13_TandM,0.0,0.0,0.0,14,1,2017-01-22 04:46:39,1242.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,19,0.0,0.0,1.0,0,1.0,Lb👽💗☁️
13_killjoy,0.0,0.0,0.0,0,47,2017-01-22 00:18:21,262.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,20,0.0,2.0,0.0,0,2.0,
13rodriguezg,0.0,0.0,0.0,36,8,2017-01-22 08:15:40,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,21,0.0,1.0,1.0,0,2.0,#UCF19
14Doroty,0.0,0.0,0.0,10,3,2017-01-23 01:34:43,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,22,0.0,1.0,1.0,0,2.0,brit at heart
14prinsp,0.0,0.0,0.0,10,10,2017-01-22 08:57:22,1366.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,WhyIMarch,23,0.0,0.0,1.0,0,1.0,"Was born curious & in trouble & nothing changed. Activist. Higher ed, learning & teaching, social justice, distributed learning, living, dying, life & politics."
15IVVL,0.0,0.0,0.0,10,3,2017-01-22 04:26:43,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,24,0.0,1.0,1.0,0,2.0,x.x.x.x.x ☻☺☻  The secret of genius is to carry the spirit of the child into old age which means never losing your enthusiasm  ☻☺☻ x.x.x.x.x
16millionbees,0.0,0.0,0.0,10,2,2017-01-24 06:18:05,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,25,1.0,0.0,0.0,0,1.0,you can be a bad bitch and still save the bees
17harryftlouis,0.0,0.0,0.0,10,14,2017-01-22 22:33:08,5837.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,26,0.0,1.0,0.0,0,1.0,"when I tell you how I feel, believe me when I say it's real.🌟"
1886LucyParsons,0.0,0.0,0.0,10,22,2017-01-24 18:51:14,856.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,27,0.0,3.0,0.0,2,3.0,"Latina/Native American/Black/Texan #LucyParsons #AlbertParsons Fall in Love, Not in Line. #German labor activists #AugustSpies #LouisLingg #MayDay #Chicago"
18hesblack,0.0,0.0,0.0,0,5,2017-01-22 03:21:32,3304.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,28,0.0,0.0,1.0,0,1.0,
1950collective,0.0,0.0,0.0,10,87,2017-01-21 23:14:45,18301.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,29,0.0,1.0,0.0,6,1.0,pop culture + social justice lifestyle brand | 10% profits donated | we ship worldwide
1972Libby,0.0,0.0,0.0,0,44,2017-01-22 02:49:53,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,30,0.0,1.0,2.0,0,3.0,
1975scyrus,0.0,0.0,0.0,10,0,2017-01-21 23:13:24,3291.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,31,0.0,1.0,0.0,0,1.0,i made that bitch famous
1975soswifty,0.0,0.0,0.0,10,8,2017-01-22 02:31:16,1277.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,32,0.0,0.0,1.0,0,1.0,"I love Doctor Who, the flash,Sherlock, 5sos and Taylor Swift. Ingrid olivercalled me a bundle of joy.obsessivereader13-wattpadashtonsbandanagirl-tumblr"
1985Shah,0.0,0.0,0.0,10,8,2017-01-22 10:11:59,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,33,0.0,1.0,1.0,0,2.0,What's in a name? That which we call a rose by any other name would smell as sweet.
1991JIG,0.0,0.0,0.0,10,0,2017-01-22 01:08:28,1154.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,34,0.0,1.0,0.0,0,1.0,"1.03.15 💙 KP // When there's no changing the fact that I'm me, and they're well...they're them. #blacklivesmatter"
